13:16:37.145 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
13:16:41.985 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 239941f9-051d-4bab-a5da-d929a481c104_config-0
13:16:42.132 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 95 ms to scan 1 urls, producing 3 keys and 6 values 
13:16:42.203 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 26 ms to scan 1 urls, producing 4 keys and 9 values 
13:16:42.229 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 3 keys and 10 values 
13:16:42.256 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 1 keys and 5 values 
13:16:42.285 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 25 ms to scan 1 urls, producing 1 keys and 7 values 
13:16:42.317 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 2 keys and 8 values 
13:16:42.325 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
13:16:42.327 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$451/0x000000080040f440
13:16:42.327 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$452/0x000000080040e840
13:16:42.329 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
13:16:42.329 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
13:16:42.349 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
13:16:49.191 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
13:16:51.190 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Success to connect to server [localhost:8848] on start up, connectionId = 1746249410835_127.0.0.1_49231
13:16:51.191 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Notify connected event to listeners.
13:16:51.193 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
13:16:51.194 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [239941f9-051d-4bab-a5da-d929a481c104_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$466/0x000000080047d040
13:16:51.623 [main] INFO  c.c.g.CloudGatewayApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
13:17:12.154 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
13:17:12.493 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 3b23958c-1409-4fe2-a8d8-091f91552baf
13:17:12.494 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] RpcClient init label, labels = {module=naming, source=sdk}
13:17:12.498 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
13:17:12.498 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
13:17:12.500 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
13:17:12.500 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] Try to connect to server on start up, server: {serverIp = 'localhost', server main port = 8848}
13:17:12.650 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] Success to connect to server [localhost:8848] on start up, connectionId = 1746249432518_127.0.0.1_49669
13:17:12.650 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [3b23958c-1409-4fe2-a8d8-091f91552baf] Notify connected event to listeners.
